ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Kingman,37.679873,-97.968399,.,17.7,33.4,2.7,30.7,690,365,40.2,91.6,87,4945,1870,1777,262,81,296,215,3,-24.2,48.9,1393,705,15.9,58
Kansas,Kiowa,37.55463,-99.279243,.,17.1,32.6,2.4,30.3,584,339,46.4,96.3,93,4754,1957,1657,256,87,291,204,3,-25.4,47,1394,810,16.6,56
Kansas,Labette,37.262031,-95.233612,.,18.2,33.6,3.5,30.1,1019,477,27.7,70.5,68,5068,1726,1809,263,73,300,227,3,-23,50.8,1382,485,15.2,60
Kansas,Lane,38.426016,-100.345688,.,16.3,32.1,1.5,30.6,502,285,52.5,112.5,115,4513,2133,1536,240,93,284,190,4,-27.5,46,1394,894,16.6,52
Kansas,Leavenworth,39.171242,-95.103905,.,16.4,32.8,1,31.7,974,522,27.1,62.8,131,4558,2151,1570,249,79,295,216,7,-25.6,49.8,1259,395,15,61
Kansas,Lincoln,38.907184,-98.480042,.,16.5,32.9,1.3,31.6,621,349,42.7,94.2,126,4592,2141,1602,250,86,290,204,4,-26.3,47.7,1328,708,15.8,57
Kansas,Linn,38.25001,-94.681778,.,17.4,33.2,2.6,30.6,1022,493,26.8,67.3,89,4843,1906,1704,254,77,297,220,4,-24.1,50.5,1344,441,15,59
Kansas,Logan,38.886115,-101.175995,.,15.7,31.7,0.9,30.8,447,274,57.4,115.6,133,4323,2269,1431,232,97,279,182,4,-28.7,45.3,1394,946,16.4,50
Kansas,Lyon,38.522655,-96.084145,.,16.6,32.7,1.4,31.4,915,484,29.1,67.6,120,4624,2091,1595,251,80,294,213,6,-25.7,49.1,1297,448,15.4,59
Kansas,Marion,38.366165,-97.139183,.,16.7,32.8,1.4,31.4,799,440,33.4,74.6,119,4641,2081,1606,254,82,294,212,5,-25.6,48.5,1310,530,15.6,59
Kansas,Marshall,39.754449,-96.674706,.,15.7,32.3,-0.1,32.4,818,464,31.4,69.7,171,4404,2324,1501,244,84,289,205,9,-27.4,48.5,1236,464,14.9,59
Kansas,McPherson,38.356605,-97.682823,.,17.1,32.9,1.9,31,738,405,36.7,81.4,106,4772,1998,1683,257,82,295,213,4,-25,48.7,1350,611,15.8,58
Kansas,Meade,37.23481,-100.367622,.,17.7,32.4,3.3,29.2,510,306,54.2,105.8,75,4893,1831,1718,258,89,290,200,2,-25.3,46.7,1474,963,16.8,52
Kansas,Miami,38.623468,-94.792038,.,16.7,32.8,1.7,31.1,1005,528,26.6,62.2,113,4656,2054,1608,251,78,296,218,5,-24.9,49.7,1282,385,14.8,61
Kansas,Mitchell,39.508344,-98.389519,.,15.9,32.7,0.3,32.4,651,365,39.7,89.5,161,4444,2293,1530,243,88,287,199,7,-27.8,47.6,1295,645,15.5,57
Kansas,Montgomery,37.240648,-95.750969,.,18.1,33.4,3.4,29.9,980,476,28.7,70,70,5034,1745,1787,260,77,299,222,3,-23.6,50.2,1395,490,15.2,58
Kansas,Morris,38.688258,-96.510216,.,16.4,32.6,1,31.6,856,460,30.8,71,130,4556,2144,1559,252,81,293,212,6,-26,48.7,1278,465,15.3,60
Kansas,Morton,37.051669,-101.843681,.,16.9,31.3,3,28.4,409,261,65.9,120.1,78,4638,1917,1543,251,95,286,191,2,-26.2,44.9,1482,1073,17.5,50
Kansas,Nemaha,39.741557,-96.056648,.,15.7,32.3,0.1,32.2,891,498,28.9,64.9,168,4417,2304,1500,244,84,291,207,9,-27.2,49.1,1263,430,14.9,59
Kansas,Neosho,37.503215,-95.19986,.,18.1,33.6,3.3,30.3,1024,485,27.4,69.2,72,5031,1763,1797,260,74,300,226,3,-23.2,50.8,1375,470,15.1,60
Kansas,Norton,39.7926,-99.963867,.,15.1,31.8,0,31.8,582,348,43.2,91.4,173,4222,2416,1389,228,95,280,184,6,-29.2,45.9,1290,721,15.8,53
Kansas,Osage,38.538503,-95.697235,.,16.5,32.7,1.2,31.6,937,489,28.3,67,124,4594,2113,1579,251,79,294,215,6,-25.7,49.3,1277,417,15.3,60
Kansas,Pawnee,38.16601,-99.082344,.,17.2,32.8,2.1,30.8,570,320,47.6,102.7,100,4776,1985,1689,256,86,291,206,3,-25.4,47.4,1381,812,16.2,56
Kansas,Phillips,39.666007,-99.155823,.,15.6,32.5,-0.1,32.7,614,350,41.6,92.9,175,4369,2372,1497,230,93,281,189,7,-29.2,47.6,1286,700,15.7,53
Kansas,Pottawatomie,39.25752,-96.531296,.,16.2,32.6,0.7,31.9,853,478,30.8,68.3,142,4541,2189,1567,250,82,292,211,7,-26.5,48.9,1279,463,15.5,59
Kansas,Pratt,37.613131,-98.871567,.,17.4,32.9,2.5,30.4,613,340,44.7,96.7,90,4836,1917,1707,258,86,293,207,2,-25.1,47.9,1412,801,16.4,56
Kansas,Rawlins,39.771774,-101.106895,.,15.1,31.5,0.4,31.1,531,303,47.3,104,154,4165,2396,1345,227,98,277,178,7,-29,45.2,1351,821,15.9,50
Kansas,Reno,37.951191,-97.97541,.,17.3,33.1,2.3,30.8,691,376,39.5,88.2,96,4828,1943,1709,260,82,296,214,3,-24.7,48.4,1360,670,15.9,58
Kansas,Republic,39.74373,-97.790504,.,15.9,32.6,0.1,32.5,729,420,35.5,77.5,165,4455,2297,1537,244,86,288,202,8,-27.6,48.2,1290,562,15.2,57
Kansas,Rice,38.203351,-98.136177,.,17.3,33.1,2.2,30.9,672,369,40.5,89.9,98,4808,1964,1704,260,82,295,213,3,-24.7,48.2,1352,680,16,58
Kansas,Riley,39.218171,-96.61039,.,16.4,32.8,0.8,31.9,850,475,31,69,138,4569,2170,1586,250,81,292,211,6,-26.4,49,1289,475,15.3,59
Kansas,Rooks,39.401231,-99.410423,.,15.8,32.5,0.4,32.1,576,329,44.8,98.7,156,4417,2303,1514,235,92,283,191,6,-28.5,47.1,1342,766,15.9,54
Kansas,Russell,38.920434,-98.577293,.,16.4,32.9,1.3,31.6,621,347,42.6,94.8,127,4583,2149,1598,249,86,289,203,4,-26.5,47.6,1330,708,15.6,57
Kansas,Saline,38.861432,-97.654427,.,16.7,33.2,1.3,31.8,737,403,36.3,82.2,124,4679,2100,1651,255,82,293,211,5,-25.7,48.7,1321,585,15.6,58
Kansas,Scott,38.636541,-100.916496,.,16,31.8,1.3,30.5,477,284,54.5,111.7,120,4415,2187,1474,237,96,281,186,4,-27.9,45.5,1401,924,16.2,51
Kansas,Sedgwick,37.62995,-97.322113,.,17.7,33.4,2.8,30.6,741,385,37.4,86.5,85,4928,1865,1760,262,79,298,219,3,-23.8,48.8,1351,616,15.7,60
Kansas,Seward,37.161261,-100.767746,.,17.5,32.4,3.1,29.3,464,276,59.3,117.3,78,4842,1865,1694,255,90,288,198,2,-25.6,46.3,1478,1013,17.1,52
Kansas,Shawnee,39.014979,-95.677292,.,16.4,32.6,1,31.6,918,492,28.8,66.4,129,4574,2138,1573,250,79,294,214,6,-25.8,49.1,1266,416,15,60
Kansas,Sheridan,39.391411,-100.633636,.,15.5,31.8,0.7,31,505,297,50.5,107,141,4277,2313,1408,232,97,280,183,5,-28.3,45.5,1358,854,16.3,52
Kansas,Sherman,39.330165,-101.915543,.,14.5,30.4,0.5,29.9,442,271,55.5,112.4,149,3966,2444,1201,229,101,277,176,5,-28.6,43.3,1331,888,16.7,51
