ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Kingman,37.679873,-97.968399,.,17.7,33.1,3.1,30,713,420,38.8,78.7,102,4974,1952,1853,256,88,306,218,4,-23.6,50.7,1392,677,15.9,57
Kansas,Kiowa,37.55463,-99.279243,.,17.1,32.5,3.1,29.3,596,376,45.5,86.4,106,4798,2034,1743,247,96,302,206,4,-24.7,50.6,1404,808,16.6,55
Kansas,Labette,37.262031,-95.233612,.,18,32.3,3.9,28.4,1056,561,26.5,57.5,80,5035,1794,1825,263,83,308,225,4,-22.3,48.4,1372,400,15.2,59
Kansas,Lane,38.426016,-100.345688,.,16.2,31.4,2.2,29.2,516,323,50.7,97.1,132,4525,2219,1584,235,102,297,195,5,-27.3,50.1,1393,878,16.6,51
Kansas,Leavenworth,39.171242,-95.103905,.,16.1,30.7,1.4,29.4,1016,595,25.7,51.6,159,4545,2227,1566,238,93,304,211,11,-25.3,47.2,1234,283,15,60
Kansas,Lincoln,38.907184,-98.480042,.,16.3,32,1.4,30.5,638,396,41.2,80.8,154,4612,2247,1657,238,96,301,206,7,-26.3,50,1315,679,15.8,56
Kansas,Linn,38.25001,-94.681778,.,17.1,31.4,3,28.4,1067,576,25.4,54.5,107,4800,1974,1690,249,89,306,216,7,-23.7,47.3,1323,353,15,59
Kansas,Logan,38.886115,-101.175995,.,15.5,30.9,1.7,29.3,469,315,54.4,98.3,147,4323,2338,1460,231,106,294,189,5,-28.5,49.7,1388,920,16.4,49
Kansas,Lyon,38.522655,-96.084145,.,16.4,31.3,1.6,29.7,951,557,27.8,56.2,145,4630,2165,1621,241,92,303,211,9,-25.4,48,1282,365,15.4,59
Kansas,Marion,38.366165,-97.139183,.,16.5,31.9,1.6,30.3,824,498,32.2,64,143,4671,2163,1663,244,91,304,213,7,-25.3,49.1,1299,477,15.6,59
Kansas,Marshall,39.754449,-96.674706,.,15.5,30.8,0.1,30.7,858,534,29.7,57.7,206,4412,2422,1530,228,96,300,204,14,-27.2,48.2,1208,385,14.9,58
Kansas,McPherson,38.356605,-97.682823,.,17,32.5,2.2,30.3,756,457,35.7,71.2,127,4805,2088,1757,248,91,306,215,6,-24.7,49.8,1340,584,15.8,58
Kansas,Meade,37.23481,-100.367622,.,17.7,32.4,4.2,28.2,519,338,53.4,95.9,80,4946,1871,1799,249,98,301,204,2,-24.4,51.2,1495,977,16.8,51
Kansas,Miami,38.623468,-94.792038,.,16.4,30.8,2,28.8,1053,609,25.1,50.6,136,4622,2126,1593,244,92,306,214,9,-24.6,46.9,1259,281,14.9,60
Kansas,Mitchell,39.508344,-98.389519,.,15.6,31.4,0.2,31.2,668,409,38.3,76.8,197,4443,2408,1562,232,97,299,202,12,-27.9,49.6,1243,597,15.6,56
Kansas,Montgomery,37.240648,-95.750969,.,17.9,32.4,3.8,28.6,1028,570,27.2,56.8,84,5016,1816,1818,259,85,307,221,4,-22.9,48.4,1387,409,15.2,58
Kansas,Morris,38.688258,-96.510216,.,16.2,31.3,1.2,30.1,888,526,29.5,59.6,156,4570,2222,1592,239,93,302,210,10,-25.7,48.2,1263,394,15.3,59
Kansas,Morton,37.051669,-101.843681,.,17.1,31.4,4.3,27.1,421,285,64.4,110.5,75,4728,1903,1623,248,102,300,197,2,-24.9,50.2,1513,1092,17.5,49
Kansas,Nemaha,39.741557,-96.056648,.,15.5,30.7,0.3,30.3,936,573,27.3,53.5,202,4423,2395,1523,228,97,301,204,15,-27,48,1208,324,14.9,58
Kansas,Neosho,37.503215,-95.19986,.,17.9,32.3,3.7,28.6,1070,576,26,56,85,5004,1831,1815,260,84,308,224,4,-22.6,48.2,1362,379,15.1,59
Kansas,Norton,39.7926,-99.963867,.,14.8,30.7,0.3,30.4,615,402,40.3,76.3,203,4187,2525,1398,229,104,294,190,9,-29.2,49.2,1261,661,15.8,52
Kansas,Osage,38.538503,-95.697235,.,16.3,31.1,1.4,29.7,973,563,27,55.2,151,4595,2183,1593,241,92,303,212,10,-25.4,47.6,1261,335,15.3,60
Kansas,Pawnee,38.16601,-99.082344,.,17,32.4,2.6,29.8,587,364,46.1,89.3,117,4797,2075,1756,245,95,302,207,4,-25.1,50.6,1381,794,16.2,55
Kansas,Phillips,39.666007,-99.155823,.,15.2,31.4,-0.1,31.5,628,391,40.1,80.3,212,4345,2491,1514,228,101,295,194,12,-29.3,50.3,1258,663,15.7,52
Kansas,Pottawatomie,39.25752,-96.531296,.,16.1,31.3,0.9,30.4,886,542,29.4,57.8,171,4555,2277,1600,234,94,302,209,11,-26.2,48.4,1227,378,15.5,59
Kansas,Pratt,37.613131,-98.871567,.,17.4,32.8,3.1,29.6,626,383,43.7,85.6,103,4874,1999,1792,249,94,303,209,4,-24.5,50.9,1418,794,16.4,55
Kansas,Rawlins,39.771774,-101.106895,.,14.8,30.5,1.1,29.4,565,360,44,84.8,171,4137,2477,1355,228,107,293,186,9,-28.9,49.1,1334,769,16,50
Kansas,Reno,37.951191,-97.97541,.,17.2,32.7,2.6,30.1,708,425,38.5,76.9,114,4859,2029,1784,253,89,306,216,5,-24.2,50.3,1356,648,15.9,58
Kansas,Republic,39.74373,-97.790504,.,15.6,31.3,0.2,31.1,753,474,34,65.9,200,4456,2406,1569,230,97,300,203,12,-27.7,49.3,1235,507,15.2,57
Kansas,Rice,38.203351,-98.136177,.,17.2,32.6,2.5,30.1,688,418,39.4,78.1,117,4836,2055,1777,251,90,306,215,5,-24.4,50.2,1346,658,16,58
Kansas,Riley,39.218171,-96.61039,.,16.2,31.4,1,30.4,880,536,29.7,58.6,167,4585,2258,1620,235,93,302,209,10,-26.1,48.6,1269,390,15.3,58
Kansas,Rooks,39.401231,-99.410423,.,15.5,31.4,0.5,31,594,372,42.9,84.4,190,4396,2422,1537,230,101,296,195,9,-28.6,50.2,1293,718,15.9,53
Kansas,Russell,38.920434,-98.577293,.,16.2,31.9,1.4,30.5,637,392,41.2,81.3,156,4600,2257,1651,237,96,301,205,7,-26.4,50.1,1317,680,15.7,56
Kansas,Saline,38.861432,-97.654427,.,16.6,32.3,1.5,30.8,756,456,35.1,70.7,150,4705,2195,1712,242,92,304,212,8,-25.5,49.9,1306,550,15.6,58
Kansas,Scott,38.636541,-100.916496,.,15.9,31.1,2.1,28.9,493,319,52.5,97.4,134,4422,2260,1513,234,104,296,192,5,-27.7,49.9,1398,904,16.2,50
Kansas,Sedgwick,37.62995,-97.322113,.,17.6,32.9,3.1,29.8,780,456,35.4,72,101,4949,1944,1824,258,86,307,222,5,-23.2,49.9,1346,568,15.7,59
Kansas,Seward,37.161261,-100.767746,.,17.6,32.3,4.1,28.2,475,306,58.2,105.7,80,4905,1891,1775,248,99,300,201,2,-24.6,51.2,1502,1026,17.1,50
Kansas,Shawnee,39.014979,-95.677292,.,16.2,31,1.3,29.7,960,566,27.3,54.7,156,4574,2211,1587,238,92,303,211,10,-25.5,47.3,1245,325,15,60
Kansas,Sheridan,39.391411,-100.633636,.,15.2,30.8,1.3,29.5,531,344,47.5,89.5,162,4252,2408,1425,231,105,295,190,7,-28.3,49.4,1343,815,16.3,51
Kansas,Sherman,39.330165,-101.915543,.,14.4,29.5,1.4,28.1,475,320,51.5,92.4,161,3966,2491,1215,229,109,294,185,7,-28.2,47.6,1322,848,16.7,50
Kansas,Smith,39.905144,-98.936371,.,14.9,30.9,-0.2,31.1,652,410,38.2,75.3,225,4262,2539,1454,228,101,296,195,13,-29.1,49.4,1212,594,15.7,54
Kansas,Stafford,38.169226,-98.526566,.,17.2,32.7,2.5,30.2,637,386,42.7,84.6,116,4859,2050,1797,250,91,305,214,5,-24.6,50.6,1368,731,16,57
Kansas,Stanton,37.563358,-101.735977,.,16.9,31.4,3.7,27.7,373,250,72,125.5,88,4661,1993,1608,243,103,298,195,2,-25.9,50.3,1498,1125,17.3,48
Kansas,Stevens,37.177601,-101.32061,.,17.2,31.6,4,27.6,435,296,62.4,106.7,82,4748,1938,1660,246,102,299,197,2,-25.1,50.4,1489,1053,17.3,50
Kansas,Sumner,37.222769,-97.28318,.,18.4,33.7,4.2,29.4,787,454,36.1,74.2,77,5182,1774,1960,268,82,309,227,3,-21.8,50.5,1414,634,15.6,58
Kansas,Thomas,39.350573,-101.017509,.,14.8,30.3,1.2,29.1,516,343,48,88.3,169,4103,2481,1328,229,107,293,187,7,-28.7,48.7,1318,803,16.3,51
Kansas,Trego,38.847448,-99.830887,.,16,31.4,1.9,29.6,515,332,50.5,94.6,144,4500,2265,1579,235,101,298,197,5,-27,50,1351,835,16.2,53
Kansas,Wabaunsee,38.918674,-96.222992,.,16.3,31.3,1.4,30,931,559,28.2,56.1,155,4602,2211,1614,239,92,304,211,10,-25.5,48.1,1268,359,15.2,59
Kansas,Wichita,38.484736,-101.344696,.,15.5,30.7,2,28.7,446,297,57.2,103.5,137,4304,2311,1435,232,106,294,189,4,-28.1,49.4,1399,953,16.8,49
Kansas,Wilson,37.697404,-95.674438,.,17.5,32.1,3.1,29,1017,569,27,56.5,100,4908,1916,1761,254,87,306,219,5,-23.5,48.2,1352,387,15.2,58
Kansas,Woodson,37.779479,-95.900017,.,17.3,31.9,2.7,29.2,968,553,28.2,57.7,108,4846,1962,1725,253,88,305,218,6,-24,48.1,1335,398,15.4,58
Kansas,Wyandotte,39.146021,-94.734436,.,16.2,30.9,1.7,29.2,1028,596,25.5,51.8,153,4578,2204,1591,241,91,305,214,11,-24.7,47.6,1226,270,14.8,61
New_Mexico,Bernalillo,35.122673,-106.655037,.,17,30.7,4.7,26,213,132,127,233,60,4521,1761,1400,260,100,301,202,1,-24.2,45.1,1665,1453,18.7,43
