"","ID1","ID2","p2025","p2055","p2085","pre"
"1","Kansas","Anderson County",0.0111951169683454,0.00983602290249858,0.00843514532149156,202.524851558903
"2","Kansas","Atchison County",0.0114602813547774,0.00574801802053627,0.0122748767163523,225.480071850914
"3","Kansas","Barber County",0.0367123993291141,0.0428137108602504,0.0517649457307668,290.235596248717
"4","Kansas","Barton County",0.0682638824299698,0.0639576450333192,0.0588723625460695,240.095329368012
"5","Kansas","Brown County",0.0293142528531801,0.00974755057718209,0.00919319582219563,331.369277452408
"6","Kansas","Butler County",0.0218613327615505,0.00897291698021373,0.0396526396743438,202.580033438104
"7","Kansas","Cherokee County",0.0119471919020623,0.0037854316832237,0.0131553036275646,116.843522818262
"8","Kansas","Clark County",0.0914761334391496,0.0585648234870991,0.175475431882483,260.338480840431
"9","Kansas","Clay County",0.0122139072949049,0.0133402684829199,0.0231556792029009,327.561677298231
"10","Kansas","Coffey County",0.0104814326030139,0.0168079913680496,0.0179735743957159,181.37635480859
"11","Kansas","Cowley County",0.0301925029233335,0.0446267181432886,0.0264875607211915,135.225340227398
"12","Kansas","Douglas County",0.0161965325145726,0.0156870287038989,0.0075390967151547,168.528135808346
"13","Kansas","Ellsworth County",0.0495380712545742,0.0440904507759271,0.0347858188525505,155.600702752536
"14","Kansas","Finney County",0.107908290953306,0.125289026216583,0.152928100205688,227.878249222252
"15","Kansas","Ford County",0.0769703473697052,0.113351327565569,0.234688116245821,169.487557901076
"16","Kansas","Geary County",0.00911052290265929,0.00643123314058833,0.0167019259936938,428.068195753415
"17","Kansas","Gray County",0.103544557163128,0.147902383647609,0.13439121845377,169.074642659376
"18","Kansas","Greeley County",0.293869858430094,0.364920826875815,0.430129975312706,188.144357096836
"19","Kansas","Harper County",0.0617440625829222,0.0442182018801579,0.0915395068750881,141.319934049136
"20","Kansas","Harvey County",0.0246082150586371,0.0242685844306464,0.0261419912303845,194.029734867691
"21","Kansas","Hodgeman County",0.0794206988459529,0.111992523135368,0.165493244594481,303.208326766424
"22","Kansas","Jefferson County",0.0197037374623165,0.008646573898364,0.0159550258845485,194.161668385651
"23","Kansas","Johnson County",0.00907983111111525,0.00842753682641934,0.0127777777174165,190.117956106442
"24","Kansas","Kingman County",0.02901676108338,0.0372780177807742,0.0847911548452056,180.827620763069
"25","Kansas","Labette County",0.00880960225346838,0.00289679371564751,0.00642575205168984,301.575423579883
"26","Kansas","Lane County",0.25593871035093,0.131815173214666,0.247787682708787,190.628987391326
"27","Kansas","Leavenworth County",0.00777742372581412,0.00817324199417658,0.0245538415908943,144.503149932904
"28","Kansas","Lincoln County",0.0865450062768885,0.0481210707787845,0.0467768633886738,244.373245505062
"29","Kansas","Linn County",0.00931011688458771,0.00658606742031366,0.00665130313774077,198.470487184726
"30","Kansas","Marion County",0.0225382068388854,0.0100059779204974,0.0161622061641163,213.933642845609
"31","Kansas","McPherson County",0.0839653843606033,0.0693304254996514,0.0447014180791082,153.841509786826
"32","Kansas","Miami County",0.0075804004684311,0.00656669099176337,0.00819910934625835,152.208807018734
"33","Kansas","Mitchell County",0.023439889590916,0.0323653533531663,0.0466342173120924,437.378531054154
"34","Kansas","Montgomery County",0.00616937171176733,0.00411388880472666,0.00731960224195736,243.42723207462
"35","Kansas","Morris County",0.0228115128477442,0.0369764277814861,0.0432693290368771,103.972210836665
"36","Kansas","Morton County",0.355815181281083,0.730680801347431,0.392460692939476,81.4960281051979
"37","Kansas","Nemaha County",0.0234457131584662,0.0132356872564727,0.0109932670705864,310.777498459687
"38","Kansas","Neosho County",0.0137141865058067,0.0094803070686534,0.0134436673130434,172.956035083941
"39","Kansas","Norton County",0.119324094935725,0.140435705204726,0.146687871449029,240.029845560841
"40","Kansas","Osage County",0.0109282111720533,0.0120006691048969,0.0175463398711516,132.199425319105
"41","Kansas","Pawnee County",0.0453272376595484,0.0569651754620599,0.0650276483682833,225.787902401988
"42","Kansas","Phillips County",0.0951314515451695,0.0453075468074426,0.0920799538874637,500.861708806601
"43","Kansas","Pottawatomie County",0.01858112822927,0.0150670354053614,0.039511567981475,184.548945938013
"44","Kansas","Pratt County",0.0444859354660533,0.108535304216042,0.135793552984141,113.787318006056
"45","Kansas","Reno County",0.0278067311190613,0.0514073604434793,0.0364135922600035,168.050219081611
"46","Kansas","Republic County",0.108308580686409,0.0488631390277197,0.0673376616945566,159.271483364215
"47","Kansas","Rice County",0.0197735864898565,0.0262990030475474,0.0530507879416878,239.45122555069
"48","Kansas","Riley County",0.0238857804041322,0.00858382894436046,0.0237831388550069,299.071513620698
"49","Kansas","Rooks County",0.032829302345008,0.0596459064354191,0.108274275664272,582.071973240142
"50","Kansas","Russell County",0.0319509330147699,0.0508065675138949,0.0394006786486833,285.804074890788
"51","Kansas","Saline County",0.0149603488465853,0.0178349562452095,0.0312275261995664,304.984082575732
"52","Kansas","Scott County",0.150489703043336,0.168223422808414,0.153581388098619,261.907432636888
"53","Kansas","Sedgwick County",0.02555354574998,0.0128724969033316,0.0339114672402993,193.37257179531
"54","Kansas","Seward County",0.474355881195117,0.522357266662013,0.871015121814307,54.7192018983994
"55","Kansas","Shawnee County",0.00871105134473746,0.0095864747668537,0.0126312463950005,178.957939307489
"56","Kansas","Sherman County",0.198627896809303,0.418786542312894,0.317177278538021,135.309676860078
"57","Kansas","Stafford County",0.0376336928130601,0.0555782106436332,0.0518062423890267,204.962006114013
"58","Kansas","Stevens County",0.182092529182739,0.368158943144852,0.440546676072143,132.106806265244
