ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Anderson,38.171526,-95.278122,.,16.1,32.1,1.2,30.9,1017,496,25.6,64.7,131,4454,2182,1492,248,83,292,210,8,-25.8,48.9,1278,396,15.3,60
Kansas,Atchison,39.537939,-95.149796,.,15.2,31.7,-0.2,31.9,969,524,26.1,60.5,179,4265,2383,1397,243,83,290,207,12,-27,48.5,1193,355,14.8,61
Kansas,Barber,37.295234,-98.614563,.,17.4,33,2.1,30.9,631,339,43.5,97.4,91,4860,1923,1729,258,87,292,205,3,-25.1,48.6,1434,804,16.2,55
Kansas,Barton,38.484026,-98.661598,.,16.3,32.6,0.7,31.9,617,339,42.6,95.9,134,4545,2189,1582,249,87,288,201,5,-26.2,47.5,1337,718,16,57
Kansas,Brown,39.903377,-95.650581,.,14.7,31.3,-1.1,32.4,928,505,26.7,62,213,4147,2506,1338,235,88,286,199,15,-28.1,48.1,1174,368,14.8,59
Kansas,Butler,37.718566,-96.903198,.,16.6,32.4,1.5,30.9,876,459,30.4,70.5,115,4623,2076,1587,253,84,293,209,6,-25.5,48.5,1332,488,15.5,58
Kansas,Chase,38.367166,-96.586777,.,16,32.3,0.6,31.6,884,471,29.4,68.5,141,4460,2215,1509,249,84,291,207,8,-26.3,48.6,1292,455,15,59
Kansas,Cherokee,37.043258,-94.640686,.,17.5,32.4,3.5,28.9,1136,489,24.2,66.4,72,4819,1822,1641,257,79,297,218,3,-23.1,48.9,1341,421,14.9,60
Kansas,Clark,37.393346,-99.786758,.,16.5,32.1,1.5,30.5,541,318,49,100.7,110,4575,2093,1571,246,92,286,194,4,-26.6,46.8,1413,872,16.3,53
Kansas,Clay,39.281917,-97.036598,.,15.8,32.4,-0.1,32.5,814,453,31.7,71.5,164,4422,2309,1514,247,84,289,205,8,-26.9,48.5,1255,484,15.1,59
Kansas,Cloud,39.47627,-97.644836,.,14.9,31.8,-1,32.8,728,415,34.3,76.5,204,4202,2486,1387,238,88,285,196,11,-28.1,47.2,1191,503,15.4,59
Kansas,Coffey,38.267677,-95.814552,.,16,32.1,0.9,31.2,924,469,28.1,68.4,138,4438,2206,1486,248,83,291,208,8,-26.3,48.5,1275,423,15.3,60
Kansas,Cowley,37.272498,-96.926094,.,17.4,32.9,2.5,30.4,863,431,31.7,76.3,88,4839,1908,1701,259,82,296,214,4,-24,49.1,1369,536,15.5,59
Kansas,Crawford,37.449707,-94.711662,.,17.3,32.6,2.9,29.7,1114,507,24.5,64.4,83,4771,1899,1640,255,79,297,218,4,-23.7,49.4,1327,408,15.1,60
Kansas,Decatur,39.811963,-100.520271,.,14.6,31.4,-1,32.5,524,307,46.9,102.4,202,4085,2559,1334,217,98,273,175,9,-29.9,45.9,1313,800,15.8,51
Kansas,Douglas,38.92911,-95.303825,.,15.7,32,0.4,31.5,991,514,25.9,62.1,154,4364,2285,1449,247,81,292,211,9,-26.3,48.4,1222,354,15,62
Kansas,Elk,37.576079,-96.037544,.,16.8,32.2,2.1,30.1,925,465,29,69.2,102,4653,2008,1582,253,83,294,211,4,-25.1,48.8,1335,460,15.3,59
Kansas,Ellsworth,38.642503,-98.0093,.,15.9,32.3,0.3,32.1,670,372,38.7,87,150,4444,2264,1520,247,87,289,202,6,-26.7,47.9,1302,630,15.6,58
Kansas,Finney,37.929846,-100.90992,.,15.5,31.3,0.6,30.7,433,263,58.9,119.1,142,4291,2311,1419,233,96,279,183,5,-28.3,44.9,1382,950,16.8,52
Kansas,Ford,37.813712,-99.875458,.,16.2,32,1,31,513,297,51,107.8,123,4483,2179,1528,244,92,285,193,4,-26.7,46.1,1370,857,16.6,55
Kansas,Franklin,38.63645,-95.256615,.,15.9,32.1,0.8,31.3,1007,502,25.8,63.9,142,4427,2225,1484,248,82,292,210,9,-26,48.9,1262,387,15.1,60
Kansas,Geary,39.077954,-96.90358,.,15.9,32.4,0.2,32.2,827,455,31.3,71.2,156,4431,2277,1509,249,84,290,206,8,-26.6,48.4,1275,471,15.3,59
Kansas,Gray,37.587532,-100.445168,.,15.9,31.4,1,30.4,484,288,53.6,108.9,127,4392,2215,1464,237,95,281,186,4,-27.6,45.4,1399,917,17,52
Kansas,Greeley,38.476396,-101.746529,.,14.7,30.6,0,30.5,376,235,65.5,130.3,160,4030,2465,1263,222,100,274,174,5,-29.3,44,1381,1005,16.9,49
Kansas,Greenwood,37.767081,-96.109222,.,16.4,32.1,1.5,30.6,920,466,28.7,68.9,118,4555,2102,1538,251,84,293,209,6,-25.8,48.6,1316,450,15.4,59
Kansas,Harper,37.243711,-98.077789,.,17.4,33.1,2.2,30.9,708,373,38.7,88.7,92,4841,1932,1718,259,84,293,209,3,-24.4,48.8,1405,699,16,57
Kansas,Harvey,38.045624,-97.380219,.,16.4,32.5,1,31.5,770,410,34.3,79.3,127,4575,2139,1575,253,84,293,209,6,-25.6,48.4,1321,561,15.7,59
Kansas,Haskell,37.425389,-101.020447,.,16.2,31.5,1.4,30,430,263,60.9,119.6,113,4458,2151,1498,240,96,281,186,3,-27.2,45.5,1435,1005,17.2,51
Kansas,Hodgeman,38.05721,-100.033157,.,16.2,32,0.9,31.2,506,287,51.7,111.5,127,4486,2194,1537,240,93,283,190,4,-27.2,46.3,1389,881,16.6,53
Kansas,Jackson,39.454953,-95.772758,.,15.2,31.6,-0.5,32.1,947,518,26.6,61,185,4249,2401,1388,241,85,289,203,12,-27.5,48.1,1181,370,15,60
Kansas,Jefferson,39.129028,-95.429649,.,15.4,31.8,0.1,31.7,976,517,26,61.5,170,4292,2353,1413,245,83,290,207,11,-26.8,48.3,1217,357,15,61
Kansas,Jewell,39.900633,-98.062302,.,14.5,31.4,-1.7,33.1,694,395,35.3,79.6,236,4114,2591,1345,228,92,281,189,14,-29.5,46.8,1190,531,15.5,57
Kansas,Johnson,38.966459,-94.793274,.,15.7,32.1,0.6,31.5,1026,528,25.1,60.8,150,4383,2268,1460,246,81,293,212,9,-25.9,48.8,1224,357,14.9,62
Kansas,Kearny,37.900662,-101.255234,.,15.7,31.4,0.8,30.7,407,260,63,121.1,133,4335,2273,1444,234,97,279,182,4,-28,45.2,1419,1011,17,50
Kansas,Kingman,37.679873,-97.968399,.,16.9,32.8,1.5,31.4,702,372,38.3,88.2,110,4708,2047,1654,257,84,293,209,4,-25.1,48.5,1364,661,15.9,58
Kansas,Kiowa,37.55463,-99.279243,.,16.4,32.2,1.2,31,572,331,46.1,97.3,118,4543,2132,1558,249,90,288,198,4,-26.2,46.9,1370,797,16.6,56
Kansas,Labette,37.262031,-95.233612,.,17.3,32.8,2.9,29.9,1059,492,25.8,66.7,84,4800,1892,1659,255,79,297,218,4,-23.8,49.6,1342,440,15.2,60
Kansas,Lane,38.426016,-100.345688,.,15.6,31.7,0.3,31.3,488,277,52.4,114.2,145,4333,2307,1452,233,95,280,185,5,-28.1,45.8,1371,884,16.6,52
Kansas,Leavenworth,39.171242,-95.103905,.,15.4,31.9,0.1,31.7,1004,527,25.3,60.5,166,4309,2337,1421,244,83,291,208,11,-26.6,48.7,1222,360,15,61
Kansas,Lincoln,38.907184,-98.480042,.,15.7,32.4,0.1,32.4,616,349,41.7,92.8,158,4396,2316,1504,242,89,286,197,6,-27.1,47.5,1302,687,15.8,57
Kansas,Linn,38.25001,-94.681778,.,16.5,32.4,1.7,30.6,1052,500,25.2,64.7,112,4582,2078,1556,250,81,294,213,6,-25,49.5,1306,402,15,60
Kansas,Logan,38.886115,-101.175995,.,15,31.3,-0.2,31.5,435,265,57.4,118.1,166,4152,2440,1353,224,98,275,177,6,-29.2,45.2,1346,919,16.4,50
Kansas,Lyon,38.522655,-96.084145,.,15.7,32,0.4,31.6,935,487,27.5,65.7,151,4384,2270,1460,246,84,290,206,9,-26.6,48.4,1263,406,15.4,60
Kansas,Marion,38.366165,-97.139183,.,15.9,32.2,0.4,31.8,812,443,31.8,72.7,149,4419,2257,1491,249,85,290,206,7,-26.5,48,1280,495,15.6,59
Kansas,Marshall,39.754449,-96.674706,.,14.9,31.6,-1.2,32.8,837,471,29.7,67.1,215,4190,2511,1381,235,88,285,197,13,-28.4,47.8,1186,424,14.9,59
Kansas,McPherson,38.356605,-97.682823,.,16.3,32.4,0.7,31.8,744,406,35.4,79.9,133,4557,2171,1573,252,85,292,207,6,-25.8,48.4,1321,579,15.8,58
Kansas,Meade,37.23481,-100.367622,.,16.9,32,2.1,29.8,502,299,53.6,106.8,95,4682,2003,1621,251,92,286,193,3,-26,46.5,1448,944,16.8,52
Kansas,Miami,38.623468,-94.792038,.,15.8,32,0.8,31.2,1034,532,25,60.1,142,4399,2233,1459,246,82,293,210,8,-25.9,48.7,1246,352,14.8,61
Kansas,Mitchell,39.508344,-98.389519,.,15.1,32.2,-0.9,33.1,647,366,38.8,87.9,200,4258,2469,1432,235,90,283,193,11,-28.5,47.3,1221,608,15.5,57
Kansas,Montgomery,37.240648,-95.750969,.,17.2,32.6,2.8,29.8,1021,494,26.7,65.9,87,4768,1912,1639,255,81,295,214,4,-24.4,49.2,1356,435,15.1,59
Kansas,Morris,38.688258,-96.510216,.,15.5,32,0.1,31.9,873,463,29.2,69.1,163,4328,2323,1433,246,84,289,205,10,-26.9,48,1247,418,15.2,60
Kansas,Morton,37.051669,-101.843681,.,16.2,30.9,2,28.9,403,253,65,122.3,98,4445,2081,1454,244,97,282,185,3,-26.7,44.8,1456,1053,17.5,50
