ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Anderson,38.171526,-95.278122,.,16.1,30.2,1.6,28.6,1072,590,24.3,51.1,124,4449,2115,1441,243,95,299,204,8,-24.9,45.5,1256,268,15.3,59
Kansas,Atchison,39.537939,-95.149796,.,15.2,29.3,0.5,28.8,1023,617,24.7,47.5,167,4243,2331,1346,232,98,298,200,11,-26,45.4,1179,206,14.8,61
Kansas,Barber,37.295234,-98.614563,.,17.5,32.2,3.3,28.9,679,405,40.5,79.5,85,4855,1876,1709,256,93,301,208,3,-24.4,49.7,1417,737,16.2,55
Kansas,Barton,38.484026,-98.661598,.,16.2,31,1.5,29.5,674,410,38.8,75.6,131,4504,2174,1531,242,97,299,201,6,-26.1,48.6,1308,633,16,56
Kansas,Brown,39.903377,-95.650581,.,14.7,29,-0.2,29.2,986,601,25.1,48.2,199,4122,2463,1290,226,101,296,195,14,-27.3,45.8,1155,233,14.8,59
Kansas,Butler,37.718566,-96.903198,.,16.6,31.1,2.2,28.9,946,555,28.2,56.1,108,4621,2017,1556,251,92,300,208,6,-24.6,47.2,1311,392,15.5,58
Kansas,Chase,38.367166,-96.586777,.,16,30.5,1.3,29.2,939,557,27.7,54.8,133,4444,2165,1462,242,95,299,203,8,-25.5,46.7,1267,351,15,58
Kansas,Cherokee,37.043258,-94.640686,.,17.4,30.8,4.1,26.7,1185,582,23.2,52.9,67,4794,1752,1577,266,87,303,216,3,-22,44.9,1327,303,14.9,60
Kansas,Clark,37.393346,-99.786758,.,16.5,31,2.7,28.3,591,383,44.9,80.9,101,4560,2043,1530,242,100,297,197,3,-26,49.3,1398,808,16.3,53
Kansas,Clay,39.281917,-97.036598,.,15.6,30.5,0.6,29.9,867,535,29.5,57,160,4374,2288,1451,236,97,298,201,9,-26.4,47.5,1242,383,15.1,58
Kansas,Cloud,39.47627,-97.644836,.,14.7,29.7,-0.4,30.1,785,493,31.5,60.1,202,4125,2494,1317,230,100,295,195,13,-27.8,47.1,1172,408,15.4,58
