ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
Kansas,Anderson,38.171526,-95.278122,.,14.9,28.8,1.1,27.7,1024,582,24.3,49.4,152,4097,2311,1204,225,104,297,194,10,-26.2,45.5,1217,247,15.2,59
Kansas,Atchison,39.537939,-95.149796,.,14,28.2,-0.2,28.4,976,602,24.6,46.8,207,3898,2531,1115,221,106,297,191,14,-27.3,44.8,1087,203,14.8,60
Kansas,Barber,37.295234,-98.614563,.,16.4,30.9,2.9,28,639,388,41.4,79.6,99,4524,2032,1485,240,99,300,201,3,-25.4,48.7,1382,743,16.2,54
Kansas,Barton,38.484026,-98.661598,.,15.1,29.9,1.2,28.8,632,390,39.7,76.7,151,4176,2338,1305,233,102,298,197,6,-27.1,47.4,1275,645,16,56
Kansas,Brown,39.903377,-95.650581,.,13.6,28,-0.9,29,930,581,25.3,48.2,244,3793,2657,1069,220,107,295,189,17,-28.4,44.9,1069,233,14.8,59
Kansas,Butler,37.718566,-96.903198,.,15.6,29.7,1.7,28,890,534,28.7,55.6,129,4286,2195,1333,233,100,299,199,7,-25.8,46.9,1277,402,15.5,58
Kansas,Chase,38.367166,-96.586777,.,14.9,29.2,0.8,28.4,885,535,28.1,54.6,160,4109,2352,1239,228,103,298,195,9,-26.8,46.5,1232,366,15,58
Kansas,Cherokee,37.043258,-94.640686,.,16.3,29.3,3.6,25.7,1140,583,23.1,50.2,84,4432,1936,1342,247,97,302,205,4,-23.3,45.5,1285,290,14.9,59
Kansas,Clark,37.393346,-99.786758,.,15.5,30,2.3,27.7,557,364,45.8,82.4,117,4233,2212,1312,235,104,297,193,4,-27.1,47.5,1363,806,16.3,52
Kansas,Clay,39.281917,-97.036598,.,14.5,29.3,0.1,29.2,813,510,30.2,57.4,190,4046,2464,1227,227,103,297,194,10,-27.6,46.6,1209,404,15.1,58
Kansas,Cloud,39.47627,-97.644836,.,13.6,28.7,-0.9,29.6,731,467,32.3,61.4,236,3806,2671,1105,225,105,295,190,14,-28.9,45.8,1085,415,15.4,58
Kansas,Coffey,38.267677,-95.814552,.,14.8,28.8,0.8,28,933,547,26.6,52.8,158,4089,2335,1208,226,103,297,194,9,-26.7,45.8,1216,309,15.3,59
Kansas,Cowley,37.272498,-96.926094,.,16.4,30.4,2.9,27.5,870,500,30.3,60.8,99,4508,2014,1453,243,97,302,205,4,-24.2,47.5,1316,462,15.5,58
Kansas,Crawford,37.449707,-94.711662,.,16.1,29.4,3,26.4,1118,595,23.3,49.5,97,4393,2017,1346,241,98,301,203,5,-23.9,45.7,1268,270,15.1,60
Kansas,Decatur,39.811963,-100.520271,.,13.2,28.5,-0.6,29.1,552,361,42,79,225,3646,2750,1028,218,112,287,176,11,-31.3,46,1201,680,15.8,50
Kansas,Douglas,38.92911,-95.303825,.,14.5,28.5,0.5,28.1,993,591,24.6,48.3,178,4003,2423,1167,224,103,298,194,11,-26.6,45,1158,213,15,61
Kansas,Elk,37.576079,-96.037544,.,15.7,29.4,2.2,27.2,936,543,27.5,54.1,117,4311,2123,1318,233,100,299,199,5,-25.4,46.1,1280,365,15.3,58
Kansas,Ellsworth,38.642503,-98.0093,.,14.7,29.6,0.6,29,675,421,36.6,70.2,171,4078,2422,1251,230,102,298,196,7,-27.4,47.1,1238,565,15.6,57
Kansas,Finney,37.929846,-100.90992,.,14.4,29.1,1.2,27.9,450,307,54.1,94.6,153,3922,2448,1151,228,108,293,185,4,-29.2,46.1,1323,874,16.9,51
Kansas,Ford,37.813712,-99.875458,.,15,29.7,1.7,28,537,349,46.6,85.1,134,4119,2316,1261,234,104,297,193,5,-27.4,46.8,1315,778,16.6,53
Kansas,Franklin,38.63645,-95.256615,.,14.7,28.6,0.8,27.8,1005,577,24.6,49.5,164,4063,2359,1193,224,104,298,194,11,-26.4,45.4,1198,252,15.1,59
Kansas,Geary,39.077954,-96.90358,.,14.6,29.3,0.3,29,826,512,29.8,57.2,180,4063,2426,1227,228,102,297,195,10,-27.2,46.5,1209,396,15.3,58
Kansas,Gray,37.587532,-100.445168,.,14.8,29.3,1.7,27.6,501,337,49.5,86.9,135,4038,2343,1206,231,107,295,188,4,-28.3,46.4,1346,846,17,51
Kansas,Greeley,38.476396,-101.746529,.,13.5,28.1,0.4,27.7,398,277,58.9,101.5,177,3647,2628,998,219,113,289,176,6,-30.8,45.5,1313,914,16.9,48
Kansas,Greenwood,37.767081,-96.109222,.,15.3,29.2,1.5,27.7,931,543,27.2,53.7,136,4212,2223,1273,229,102,298,197,7,-26.1,46.1,1259,353,15.4,58
Kansas,Harper,37.243711,-98.077789,.,16.4,30.9,2.9,28,719,431,36.7,71.6,100,4514,2042,1482,242,98,301,203,4,-24.7,48.4,1353,633,16,56
Kansas,Harvey,38.045624,-97.380219,.,15.3,29.8,1.3,28.5,773,465,32.8,64.2,143,4233,2273,1323,234,100,300,200,6,-26.1,47.3,1263,498,15.7,58
Kansas,Haskell,37.425389,-101.020447,.,15.1,29.4,2.1,27.3,441,303,57,97.3,118,4113,2259,1237,233,107,294,188,3,-27.9,46.8,1383,943,17.2,50
Kansas,Hodgeman,38.05721,-100.033157,.,15,29.7,1.5,28.2,529,338,47.2,87.7,140,4109,2337,1259,232,105,296,190,5,-28.1,47.1,1329,799,16.6,52
Kansas,Jackson,39.454953,-95.772758,.,14,28.3,-0.3,28.6,947,589,25.3,48,211,3891,2548,1117,222,105,296,191,14,-27.8,45.1,1134,236,15,59
Kansas,Jefferson,39.129028,-95.429649,.,14.2,28.4,0,28.5,976,590,24.8,48.2,195,3935,2493,1137,222,104,296,192,13,-27.2,45,1126,220,15,60
Kansas,Jewell,39.900633,-98.062302,.,13.1,28.3,-1.6,29.9,697,441,33.2,64.3,275,3692,2793,1047,223,106,292,186,17,-30.5,45.7,1080,441,15.5,56
Kansas,Johnson,38.966459,-94.793274,.,14.5,28.5,0.6,27.9,1027,606,23.8,47.1,176,4004,2417,1165,224,104,299,195,12,-26.2,44.8,1156,208,14.9,61
Kansas,Kearny,37.900662,-101.255234,.,14.6,29.2,1.3,27.8,425,299,57.8,97.6,143,3968,2400,1173,229,109,293,184,3,-29.1,46.5,1359,934,17,49
Kansas,Kingman,37.679873,-97.968399,.,15.8,30.5,2.1,28.4,709,425,36.4,71.6,122,4373,2166,1408,239,99,301,202,5,-25.4,47.9,1309,602,15.9,57
Kansas,Kiowa,37.55463,-99.279243,.,15.3,30,1.9,28.1,591,380,42.8,78.8,128,4200,2263,1304,235,103,298,195,4,-26.7,47.3,1317,725,16.6,54
